Date,MSL_Low_NAVD_cm,MSL_High_NAVD_cm
2018-07-26,-12.56,-11.24
2018-08-02,-12.55,-11.22
2018-08-09,-12.54,-11.2
2018-08-16,-12.53,-11.18
2018-08-23,-12.52,-11.16
2018-08-30,-12.51,-11.14
2018-09-06,-12.49,-11.12
2018-09-13,-12.48,-11.1
2018-09-20,-12.47,-11.08
2018-09-27,-12.46,-11.07
2018-10-04,-12.45,-11.05
2018-10-11,-12.44,-11.03
2018-10-18,-12.43,-11.01
2018-10-25,-12.41,-10.99
2018-11-01,-12.4,-10.97
2018-11-08,-12.39,-10.95
2018-11-15,-12.38,-10.93
2018-11-22,-12.37,-10.91
2018-11-29,-12.36,-10.89
2018-12-06,-12.34,-10.87
2018-12-13,-12.33,-10.85
2018-12-20,-12.32,-10.83
2018-12-27,-12.31,-10.81
2019-01-03,-12.3,-10.79
2019-01-10,-12.28,-10.77
2019-01-17,-12.27,-10.76
2019-01-24,-12.26,-10.74
2019-01-31,-12.25,-10.72
2019-02-07,-12.23,-10.7
2019-02-14,-12.22,-10.68
2019-02-21,-12.21,-10.66
2019-02-28,-12.2,-10.64
2019-03-07,-12.18,-10.62
2019-03-14,-12.17,-10.6
2019-03-21,-12.16,-10.58
2019-03-28,-12.14,-10.56
2019-04-04,-12.13,-10.54
2019-04-11,-12.12,-10.52
2019-04-18,-12.11,-10.5
2019-04-25,-12.09,-10.48
2019-05-02,-12.08,-10.46
2019-05-09,-12.07,-10.44
2019-05-16,-12.05,-10.42
2019-05-23,-12.04,-10.4
2019-05-30,-12.03,-10.38
2019-06-06,-12.01,-10.36
2019-06-13,-12,-10.34
2019-06-20,-11.98,-10.32
2019-06-27,-11.97,-10.3
2019-07-04,-11.96,-10.29
2019-07-11,-11.94,-10.27
2019-07-18,-11.93,-10.25
2019-07-25,-11.92,-10.23
2019-08-01,-11.9,-10.21
2019-08-08,-11.89,-10.19
2019-08-15,-11.87,-10.17
2019-08-22,-11.86,-10.15
2019-08-29,-11.85,-10.13
2019-09-05,-11.83,-10.11
2019-09-12,-11.82,-10.09
2019-09-19,-11.81,-10.07
2019-09-26,-11.79,-10.06
